         Market	              -	      B-A1	      B-A0	         O
         makers	              -	      I-A1	      I-A0	         O
             in	              -	      I-A1	      I-A0	         O
         Nasdaq	              -	      I-A1	      I-A0	         O
over-the-counter	              -	      I-A1	      I-A0	         O
         stocks	              -	      E-A1	      E-A0	         O
            are	            are	       S-V	         O	         O
         adding	         adding	  B-AM-ADV	       S-V	         O
          their	              -	  I-AM-ADV	      B-A1	         O
         voices	              -	  I-AM-ADV	      E-A1	         O
             to	              -	  I-AM-ADV	      B-A2	         O
            the	              -	  I-AM-ADV	      I-A2	         O
       swelling	       swelling	  I-AM-ADV	      I-A2	       S-V
         chorus	              -	  I-AM-ADV	      I-A2	      S-A1
             of	              -	  I-AM-ADV	      I-A2	         O
     complaints	              -	  I-AM-ADV	      I-A2	         O
          about	              -	  I-AM-ADV	      I-A2	         O
        program	              -	  I-AM-ADV	      I-A2	         O
        trading	              -	  E-AM-ADV	      E-A2	         O
              .	              -	         O	         O	         O

          Their	              -	      B-A0	         O
     motivation	              -	      E-A0	         O
              ,	              -	         O	         O
        however	              -	  S-AM-DIS	         O
              ,	              -	         O	         O
            has	            has	       S-V	         O
              a	              -	      B-A1	         O
         strong	              -	      I-A1	         O
      practical	              -	      I-A1	         O
         aspect	              -	      E-A1	         O
              :	              -	         O	         O
        Program	              -	         O	      B-A1
        trading	              -	         O	      E-A1
             is	             is	         O	       S-V
      hazardous	              -	         O	      B-A2
             to	              -	         O	      I-A2
          their	              -	         O	      I-A2
      paychecks	              -	         O	      E-A2
              .	              -	         O	         O

            The	              -	      B-A1	      B-A0	         O	         O
          Index	              -	      E-A1
        tumbled	        tumbled	       S-V
           5.39	              -	      B-A2
              ,	              -	      I-A2
             or	              -	      I-A2
            1.2	              -	      I-A2
              %	              -	      E-A2
             to	              -	      B-A4
         452.76	              -	      E-A4
             on	              -	  B-AM-TMP
         Friday	              -	  E-AM-TMP
              .	              -	         O

            For	              -	  B-AM-TMP
            the	              -	  I-AM-TMP
           week	              -	  E-AM-TMP
              ,	              -	         O
            the	              -	      B-A1
          index	              -	      E-A1
        dropped	        dropped	       S-V
            3.8	              -	      B-A2
              %	              -	      E-A2
              .	              -	         O

       Weakness	              -	      B-A2	         O
             in	              -	      I-A2	         O
            big	              -	      I-A2	         O
     technology	              -	      I-A2	         O
         stocks	              -	      E-A2	         O
           hurt	           hurt	       S-V	         O
            the	              -	      B-A1	         O
      composite	              -	      I-A1	         O
             as	              -	      I-A1	         O
           well	              -	      I-A1	         O
             as	              -	      I-A1	         O
            the	              -	      I-A1	      B-A1
         Nasdaq	              -	      I-A1	      I-A1
            100	              -	      I-A1	      I-A1
          Index	              -	      I-A1	      E-A1
              ,	              -	      I-A1	         O
          which	              -	      I-A1	    S-R-A1
           fell	           fell	      I-A1	       S-V
            1.4	              -	      I-A1	      B-A2
              %	              -	      I-A1	      I-A2
              ,	              -	      I-A1	      I-A2
             or	              -	      I-A1	      I-A2
           6.43	              -	      I-A1	      I-A2
              ,	              -	      I-A1	      E-A2
             on	              -	      I-A1	  B-AM-TMP
         Friday	              -	      I-A1	  E-AM-TMP
              ,	              -	      I-A1	         O
             to	              -	      I-A1	      B-A4
         437.68	              -	      E-A1	      E-A4
              .	              -	         O	         O

            The	              -	      B-A1
         Nasdaq	              -	      I-A1
      Financial	              -	      I-A1
          Index	              -	      E-A1
           lost	           lost	       S-V
          about	              -	      B-A2
              1	              -	      I-A2
              %	              -	      I-A2
              ,	              -	      I-A2
             or	              -	      I-A2
           3.95	              -	      I-A2
              ,	              -	      E-A2
             to	              -	      B-A4
         448.80	              -	      E-A4
              .	              -	         O

         Friday	              -	      B-A1
             's	              -	      I-A1
        trading	              -	      I-A1
         volume	              -	      E-A1
        totaled	        totaled	       S-V
          132.8	              -	      B-A2
        million	              -	      I-A2
         shares	              -	      E-A2
              .	              -	         O

            The	              -	      B-A1
        average	              -	      I-A1
          daily	              -	      I-A1
          share	              -	      I-A1
       turnover	              -	      I-A1
            for	              -	      I-A1
        October	              -	      E-A1
             is	             is	       S-V
         almost	              -	      B-A1
            148	              -	      I-A1
        million	              -	      I-A1
         shares	              -	      E-A1
              .	              -	         O

            LIN	              -	      B-A1	         O	         O	         O
   Broadcasting	              -	      E-A1	         O	         O	         O
         surged	         surged	       S-V	         O	         O	         O
              4	              -	      B-A2	         O	         O	         O
            5/8	              -	      E-A2	         O	         O	         O
             to	              -	      B-A4	         O	         O	         O
            112	              -	      I-A4	         O	         O	         O
            5/8	              -	      E-A4	         O	         O	         O
              ;	              -	         O	         O	         O	         O
            LIN	              -	         O	      B-A0	      B-A0	         O
            and	              -	         O	      I-A0	      I-A0	         O
      BellSouth	              -	         O	      E-A0	      E-A0	         O
      sweetened	      sweetened	         O	       S-V	         O	         O
          their	              -	         O	      B-A1	         O	         O
         merger	              -	         O	      I-A1	         O	         O
      agreement	              -	         O	      E-A1	         O	         O
             in	              -	         O	  B-AM-PNC	         O	         O
             an	              -	         O	  I-AM-PNC	         O	         O
        attempt	              -	         O	  I-AM-PNC	         O	         O
             to	              -	         O	  I-AM-PNC	         O	         O
           keep	           keep	         O	  I-AM-PNC	       S-V	         O
   shareholders	              -	         O	  I-AM-PNC	      S-A1	      S-A0
           from	              -	         O	  I-AM-PNC	      B-A2	         O
      tendering	      tendering	         O	  I-AM-PNC	      I-A2	       S-V
          their	              -	         O	  I-AM-PNC	      I-A2	      B-A1
         shares	              -	         O	  I-AM-PNC	      I-A2	      E-A1
             to	              -	         O	  I-AM-PNC	      I-A2	      B-A2
          McCaw	              -	         O	  I-AM-PNC	      I-A2	      I-A2
       Cellular	              -	         O	  I-AM-PNC	      I-A2	      I-A2
 Communications	              -	         O	  E-AM-PNC	      E-A2	      E-A2
              .	              -	         O	         O	         O	         O

          McCaw	              -	      S-A0	      B-A0	      B-A0
              ,	              -	         O	      I-A0	      I-A0
          which	              -	    S-R-A1	      I-A0	      I-A0
        dropped	        dropped	       S-V	      I-A0	      I-A0
              2	              -	      B-A2	      I-A0	      I-A0
            1/2	              -	      E-A2	      I-A0	      I-A0
             to	              -	      B-A4	      I-A0	      I-A0
             37	              -	      I-A4	      I-A0	      I-A0
            3/4	              -	      E-A4	      I-A0	      I-A0
              ,	              -	         O	      E-A0	      E-A0
            has	            has	         O	       S-V	         O
        offered	        offered	         O	      B-A1	       S-V
              $	              -	         O	      I-A1	      B-A2
            125	              -	         O	      I-A1	      I-A2
              a	              -	         O	      I-A1	      I-A2
          share	              -	         O	      I-A1	      E-A2
            for	              -	         O	      I-A1	      B-A1
              a	              -	         O	      I-A1	      I-A1
       majority	              -	         O	      I-A1	      I-A1
             of	              -	         O	      I-A1	      I-A1
            LIN	              -	         O	      I-A1	      I-A1
             's	              -	         O	      I-A1	      I-A1
         shares	              -	         O	      E-A1	      E-A1
              .	              -	         O	         O	         O

            The	              -	         O	      B-A0	         O	         O
        revised	        revised	       S-V	      I-A0	         O	         O
  LIN-BellSouth	              -	      B-A1	      I-A0	         O	         O
      agreement	              -	      E-A1	      E-A0	         O	         O
         boosts	         boosts	         O	       S-V	         O	         O
            the	              -	         O	      B-A1	         O	         O
         dollar	              -	         O	      I-A1	         O	         O
         amount	              -	         O	      I-A1	         O	         O
             of	              -	         O	      I-A1	         O	         O
            the	              -	         O	      I-A1	         O	      B-A1
        special	              -	         O	      I-A1	         O	      I-A1
       dividend	              -	         O	      I-A1	         O	      E-A1
            LIN	              -	         O	      I-A1	      S-A0	      S-A0
       promises	       promises	         O	      I-A1	       S-V	         O
             to	              -	         O	      I-A1	      B-A2	         O
            pay	            pay	         O	      I-A1	      I-A2	       S-V
   shareholders	              -	         O	      E-A1	      E-A2	      S-A2
              .	              -	         O	         O	         O	         O

            LIN	              -	      S-A0	      S-A0
            now	              -	  S-AM-TMP	         O
          plans	          plans	       S-V	         O
             to	              -	      B-A1	         O
           dole	           dole	      I-A1	       S-V
            out	              -	      I-A1	      B-A4
              $	              -	      I-A1	      I-A4
             42	              -	      I-A1	      I-A4
              a	              -	      I-A1	      I-A4
          share	              -	      I-A1	      I-A4
             in	              -	      I-A1	      I-A4
           cash	              -	      I-A1	      I-A4
              ,	              -	      I-A1	      I-A4
             up	              -	      I-A1	      I-A4
           from	              -	      I-A1	      I-A4
            the	              -	      I-A1	      I-A4
        earlier	              -	      I-A1	      I-A4
              $	              -	      I-A1	      I-A4
             20	              -	      I-A1	      I-A4
         amount	              -	      E-A1	      E-A4
              .	              -	         O	         O

          Intel	              -	      S-A1
          eased	          eased	       S-V
            1/8	              -	      S-A2
             to	              -	      B-A4
             31	              -	      I-A4
            7/8	              -	      E-A4
              .	              -	         O

            The	              -	      B-A0	         O	         O
  semiconductor	              -	      I-A0	         O	         O
        concern	              -	      E-A0	         O	         O
           said	           said	       S-V	         O	         O
            the	              -	      B-A1	      B-A1	      B-A0
   interruption	              -	      I-A1	      I-A1	      I-A0
             in	              -	      I-A1	      I-A1	      I-A0
       shipment	              -	      I-A1	      I-A1	      I-A0
             of	              -	      I-A1	      I-A1	      I-A0
            its	              -	      I-A1	      I-A1	      I-A0
          80486	              -	      I-A1	      I-A1	      I-A0
       computer	              -	      I-A1	      I-A1	      I-A0
           chip	              -	      I-A1	      E-A1	      E-A0
           will	              -	      I-A1	  S-AM-MOD	  S-AM-MOD
             be	             be	      I-A1	       S-V	         O
          brief	              -	      I-A1	      S-A3	         O
            and	              -	      I-A1	         O	         O
           have	           have	      I-A1	         O	       S-V
         little	              -	      I-A1	         O	      B-A1
         impact	              -	      I-A1	         O	      I-A1
             on	              -	      I-A1	         O	      I-A1
            the	              -	      I-A1	         O	      I-A1
        company	              -	      I-A1	         O	      I-A1
             's	              -	      I-A1	         O	      I-A1
       earnings	              -	      E-A1	         O	      E-A1
              .	              -	         O	         O	         O

            The	              -	      B-A1	         O
          stock	              -	      E-A1	         O
           fell	           fell	       S-V	         O
            7/8	              -	      S-A2	         O
       Thursday	              -	  S-AM-TMP	         O
           amid	              -	  B-AM-LOC	         O
       concerns	              -	  I-AM-LOC	         O
           over	              -	  I-AM-LOC	         O
       problems	              -	  I-AM-LOC	      S-A1
     discovered	     discovered	  I-AM-LOC	       S-V
           with	              -	  I-AM-LOC	      B-A3
            the	              -	  I-AM-LOC	      I-A3
           chip	              -	  E-AM-LOC	      E-A3
              .	              -	         O	         O

          Intel	              -	      S-A0	         O
           told	           told	       S-V	         O
       analysts	              -	      S-A2	         O
           that	              -	      B-A1	         O
            the	              -	      I-A1	      B-A0
        company	              -	      I-A1	      E-A0
           will	              -	      I-A1	  S-AM-MOD
         resume	         resume	      I-A1	       S-V
      shipments	              -	      I-A1	      B-A1
             of	              -	      I-A1	      I-A1
            the	              -	      I-A1	      I-A1
          chips	              -	      I-A1	      E-A1
         within	              -	      I-A1	  B-AM-TMP
            two	              -	      I-A1	  I-AM-TMP
             to	              -	      I-A1	  I-AM-TMP
          three	              -	      I-A1	  I-AM-TMP
          weeks	              -	      E-A1	  E-AM-TMP
              .	              -	         O	         O

      Weisfield	              -	      B-A1	         O	         O	         O	         O
             's	              -	      E-A1	         O	         O	         O	         O
       rocketed	       rocketed	       S-V	         O	         O	         O	         O
              9	              -	      B-A2	         O	         O	         O	         O
            1/2	              -	      E-A2	         O	         O	         O	         O
             to	              -	      B-A4	         O	         O	         O	         O
             39	              -	      E-A4	         O	         O	         O	         O
          after	              -	  B-AM-TMP	         O	         O	         O	         O
            the	              -	  I-AM-TMP	      B-A0	         O	         O	         O
        jewelry	              -	  I-AM-TMP	      I-A0	         O	         O	         O
          store	              -	  I-AM-TMP	      I-A0	         O	         O	         O
       operator	              -	  I-AM-TMP	      E-A0	         O	         O	         O
           said	           said	  I-AM-TMP	       S-V	         O	         O	         O
             it	              -	  I-AM-TMP	      B-A1	      S-A1	         O	         O
             is	             is	  I-AM-TMP	      I-A1	       S-V	         O	         O
             in	              -	  I-AM-TMP	      I-A1	  B-AM-LOC	         O	         O
    preliminary	              -	  I-AM-TMP	      I-A1	  I-AM-LOC	         O	         O
    discussions	              -	  I-AM-TMP	      I-A1	  E-AM-LOC	         O	         O
              ,	              -	  I-AM-TMP	      I-A1	         O	         O	         O
           with	              -	  I-AM-TMP	      I-A1	         O	         O	         O
              a	              -	  I-AM-TMP	      I-A1	         O	      B-A1	         O
          party	              -	  I-AM-TMP	      I-A1	         O	      E-A1	         O
             it	              -	  I-AM-TMP	      I-A1	         O	      S-A0	         O
          would	              -	  I-AM-TMP	      I-A1	         O	  S-AM-MOD	         O
            n't	              -	  I-AM-TMP	      I-A1	         O	  S-AM-NEG	         O
       identify	       identify	  I-AM-TMP	      I-A1	         O	       S-V	         O
              ,	              -	  I-AM-TMP	      I-A1	         O	         O	         O
      regarding	      regarding	  I-AM-TMP	      I-A1	         O	         O	       S-V
            the	              -	  I-AM-TMP	      I-A1	         O	         O	      B-A1
       possible	              -	  I-AM-TMP	      I-A1	         O	         O	      I-A1
    acquisition	              -	  I-AM-TMP	      I-A1	         O	         O	      I-A1
             of	              -	  I-AM-TMP	      I-A1	         O	         O	      I-A1
            the	              -	  I-AM-TMP	      I-A1	         O	         O	      I-A1
        company	              -	  E-AM-TMP	      E-A1	         O	         O	      E-A1
              .	              -	         O	         O	         O	         O	         O

     Starpointe	              -	      B-A1	         O
        Savings	              -	      I-A1	         O
           Bank	              -	      E-A1	         O
           rose	           rose	       S-V	         O
              3	              -	      S-A2	         O
             to	              -	      B-A4	         O
             20	              -	      E-A4	         O
          after	              -	  B-AM-TMP	         O
            the	              -	  I-AM-TMP	      B-A0
        Federal	              -	  I-AM-TMP	      I-A0
        Deposit	              -	  I-AM-TMP	      I-A0
      Insurance	              -	  I-AM-TMP	      I-A0
          Corp.	              -	  I-AM-TMP	      E-A0
       approved	       approved	  I-AM-TMP	       S-V
           Dime	              -	  I-AM-TMP	      B-A1
        Savings	              -	  I-AM-TMP	      I-A1
           Bank	              -	  I-AM-TMP	      I-A1
             of	              -	  I-AM-TMP	      I-A1
            New	              -	  I-AM-TMP	      I-A1
           York	              -	  I-AM-TMP	      I-A1
             's	              -	  I-AM-TMP	      I-A1
              $	              -	  I-AM-TMP	      I-A1
     21-a-share	              -	  I-AM-TMP	      I-A1
    acquisition	              -	  I-AM-TMP	      I-A1
             of	              -	  I-AM-TMP	      I-A1
     Starpointe	              -	  E-AM-TMP	      E-A1
              .	              -	         O	         O

      Kirschner	              -	      B-A1
        Medical	              -	      E-A1
           fell	           fell	       S-V
              4	              -	      S-A2
             to	              -	      B-A4
             15	              -	      E-A4
              .	              -	         O

            The	              -	      B-A0	         O	         O
        company	              -	      E-A0	         O	         O
           said	           said	       S-V	         O	         O
            its	              -	      B-A1	      B-A1	         O
  third-quarter	              -	      I-A1	      I-A1	         O
       earnings	              -	      I-A1	      E-A1	         O
           will	              -	      I-A1	  S-AM-MOD	         O
       probably	              -	      I-A1	  S-AM-ADV	         O
             be	             be	      I-A1	       S-V	         O
          lower	              -	      I-A1	  B-AM-ADV	         O
           than	              -	      I-A1	  I-AM-ADV	         O
            the	              -	      I-A1	  I-AM-ADV	      B-A1
             16	              -	      I-A1	  I-AM-ADV	      I-A1
          cents	              -	      I-A1	  I-AM-ADV	      I-A1
              a	              -	      I-A1	  I-AM-ADV	      I-A1
          share	              -	      I-A1	  I-AM-ADV	      E-A1
             it	              -	      I-A1	  I-AM-ADV	      S-A0
       reported	       reported	      I-A1	  I-AM-ADV	       S-V
           last	              -	      I-A1	  I-AM-ADV	  B-AM-TMP
           year	              -	      I-A1	  E-AM-ADV	  E-AM-TMP
              ,	              -	      I-A1	         O	         O
        despite	              -	      I-A1	  B-AM-ADV	         O
              a	              -	      I-A1	  I-AM-ADV	         O
           rise	              -	      I-A1	  I-AM-ADV	         O
             in	              -	      I-A1	  I-AM-ADV	         O
            the	              -	      I-A1	  I-AM-ADV	         O
        company	              -	      I-A1	  I-AM-ADV	         O
             's	              -	      I-A1	  I-AM-ADV	         O
        revenue	              -	      E-A1	  E-AM-ADV	         O
              .	              -	         O	         O	         O

      Kirschner	              -	      S-A0
         earned	         earned	       S-V
              $	              -	      B-A1
        376,000	              -	      E-A1
             on	              -	  B-AM-MNR
        revenue	              -	  I-AM-MNR
             of	              -	  I-AM-MNR
              $	              -	  I-AM-MNR
           14.5	              -	  I-AM-MNR
        million	              -	  E-AM-MNR
             in	              -	  B-AM-TMP
            the	              -	  I-AM-TMP
           1988	              -	  I-AM-TMP
        quarter	              -	  E-AM-TMP
              .	              -	         O

            The	              -	      B-A0	         O
        company	              -	      E-A0	         O
         blamed	         blamed	       S-V	         O
              a	              -	      B-A1	      B-A2
         number	              -	      I-A1	      I-A2
             of	              -	      I-A1	      I-A2
        factors	              -	      E-A1	      I-A2
            for	              -	      B-A2	      I-A2
            the	              -	      I-A2	      I-A2
       earnings	              -	      I-A2	      I-A2
        decline	              -	      I-A2	      E-A2
              ,	              -	      I-A2	         O
      including	      including	      I-A2	       S-V
         softer	              -	      I-A2	      B-A1
          sales	              -	      I-A2	      I-A1
             of	              -	      I-A2	      I-A1
 joint-implants	              -	      E-A2	      E-A1
              .	              -	         O	         O

